"","TEAM","need1","need2","need3","need4","need5","need6","need7","need8","need9","need10"
"1","ARI","WR","EDGE","CB","QB","OT","DL","TE","CB","WR","EDGE"
"2","ATL","EDGE","CB","DL","WR","S","OT","LB","EDGE","IOL","CB"
"3","BAL","OT","EDGE","CB","DL","WR","IOL","S","CB","EDGE","OT"
"4","BUF","WR","EDGE","S","DL","CB","OT","IOL","DL","WR","S"
"5","CAR","WR","EDGE","DL","CB","OT","TE","WR","EDGE","DL","IOL"
"6","CHI","QB","WR","OT","EDGE","DL","IOL","S","CB","WR","IOL"
"7","CIN","WR","IOL","DL","TE","CB","RB","EDGE","S","OT","DL"
"8","CLE","DL","LB","OT","WR","RB","S","IOL","EDGE","DL","LB"
"9","DAL","OT","IOL","CB","WR","RB","LB","EDGE","S","IOL","CB"
"10","DEN","QB","EDGE","DL","CB","OT","WR","S","IOL","EDGE","CB"
"11","DET","EDGE","CB","IOL","S","WR","DL","OT","QB","IOL","CB"
"12","GB","OT","CB","IOL","S","DL","EDGE","OT","RB","WR","IOL"
"13","HOU","CB","S","LB","IOL","DL","TE","OT","WR","EDGE","IOL"
"14","IND","CB","WR","EDGE","OT","TE","DL","S","CB","WR","IOL"
"15","JAC","CB","DL","EDGE","WR","OT","S","IOL","CB","DL","EDGE"
"16","KC","OT","WR","DL","CB","S","EDGE","LB","WR","CB","IOL"
"17","LV","QB","CB","DL","OT","EDGE","RB","WR","S","CB","IOL"
"18","LAC","OT","WR","CB","DL","TE","EDGE","RB","IOL","CB","DL"
"19","LAR","EDGE","OT","DL","CB","QB","TE","RB","IOL","EDGE","CB"
"20","MIA","IOL","DL","TE","EDGE","S","WR","OT","LB","DL","IOL"
"21","MIN","QB","EDGE","CB","DL","RB","OT","WR","S","IOL","EDGE"
"22","NE","QB","OT","WR","TE","CB","EDGE","DL","WR","IOL","WR"
"23","NO","OT","DL","EDGE","WR","CB","QB","S","LB","IOL","EDGE"
"24","NYG","WR","QB","OT","RB","CB","TE","IOL","WR","DL","IOL"
"25","NYJ","OT","S","TE","WR","QB","IOL","CB","OT","EDGE","RB"
"26","PHI","WR","OT","CB","IOL","EDGE","S","LB","DL","CB","OT"
"27","PIT","CB","OT","WR","QB","S","LB","IOL","DL","OT","CB"
"28","SF","OT","CB","EDGE","WR","S","IOL","DL","S","OT","CB"
"29","SEA","EDGE","IOL","OT","QB","LB","DL","S","TE","EDGE","IOL"
"30","TB","CB","IOL","EDGE","OT","WR","QB","TE","DL","RB","CB"
"31","TEN","OT","CB","EDGE","TE","DL","IOL","S","WR","CB","OT"
"32","WAS","QB","OT","EDGE","CB","LB","IOL","TE","S","OT","EDGE"
