receiver_player_id,player,posteam,season,numGames,tgt_share,numYards,numTD,numRec,wr_rank,playerYear,passOffenseTier,qbTier,runOffenseTier,player_name,position,points,NY_posteam,NY_numGames,NY_tgtShare,NY_seasonYards,NY_wr_rank,NY_playerYear,NY_passOffenseTier,NY_qbTier,NY_points,receiver_player_name,epaTier,NY_passFreqTier
00-0030035,Adam Thielen,CAR,2024,10,0.1756373938,615,5,48,1,9,7,8,3,A.Thielen,WR,139.5,CAR,16,0.1975967957,,2,10,7,6,,A.Thielen,1,5
00-0030061,Zach Ertz,WAS,2024,17,0.1614583333,658,7,66,2,9,3,2,1,Z.Ertz,TE,216.9,WAS,16,0.1892966361,,3,10,2,2,,Z.Ertz,4,6
00-0030431,Robert Woods,HOU,2024,15,0.05319148936,203,0,20,7,9,7,8,6,R.Woods,WR,42.5,PIT,16,0.08245614035,,7,10,6,8,,R.Woods,NA,8
00-0030506,Travis Kelce,KC,2024,16,0.2164781906,848,3,97,2,9,3,3,4,T.Kelce,TE,231.9,KC,16,0.2437035695,,2,10,2,1,,T.Kelce,8,3
00-0030564,DeAndre Hopkins,KC,2024,10,0.1404761905,437,4,41,4,9,3,3,4,D.Hopkins,WR,160.9,BAL,16,0.1559766764,,5,10,3,3,,D.Hopkins,4,8
00-0031236,Brandin Cooks,DAL,2024,10,0.1483516484,259,4,26,4,9,5,7,8,B.Cooks,WR,69.6,NO,16,0.1734939759,,4,10,5,8,,B.Cooks,8,6
00-0031381,Davante Adams,NYJ,2024,11,0.2798053528,856,7,67,1,9,4,6,8,D.Adams,WR,241.3,LA,16,0.2909967846,,2,10,4,4,,D.Adams,8,4
00-0031408,Mike Evans,TB,2024,14,0.22,1004,11,74,2,9,1,2,2,M.Evans,WR,262.6,TB,16,0.2633181126,,1,10,3,2,,M.Evans,4,3
00-0031588,Stefon Diggs,HOU,2024,8,0.2119205298,496,3,47,2,9,7,8,6,S.Diggs,WR,121.92,NE,16,0.2161747796,,1,10,7,6,,S.Diggs,5,6
00-0032211,Tyler Lockett,SEA,2024,17,0.1141975309,600,2,49,5,9,4,6,5,T.Lockett,WR,121,TEN,16,0.1428571429,,2,10,7,7,,T.Lockett,8,6
00-0032392,Austin Hooper,NE,2024,17,0.1012006861,476,3,45,4,9,8,8,6,A.Hooper,TE,108.6,NE,16,0.1165674603,,7,10,7,6,,A.Hooper,6,6
00-0032464,Kalif Raymond,DET,2024,12,0.05882352941,215,2,17,7,8,1,1,1,K.Raymond,WR,63.2,NYJ,16,0.1007462687,,4,9,8,7,,K.Raymond,NA,2
00-0032775,Demarcus Robinson,LA,2024,17,0.1114864865,505,7,31,3,8,3,7,4,D.Robinson,WR,137.2,SF,16,0.13125,,6,9,2,2,,D.Robinson,8,7
00-0033009,Tyler Boyd,TEN,2024,16,0.1048824593,390,0,39,3,9,6,7,6,T.Boyd,WR,78.3,TEN,16,0.1229895932,,5,10,7,7,,T.Boyd,8,6
00-0033040,Tyreek Hill,MIA,2024,17,0.1937007874,959,6,81,1,9,4,5,7,T.Hill,WR,218.2,MIA,16,0.2185628743,,1,10,4,4,,T.Hill,6,3
00-0033090,Hunter Henry,NE,2024,16,0.1757246377,674,2,66,1,9,8,8,6,H.Henry,TE,145.4,NE,16,0.2056636156,,2,10,7,6,,H.Henry,6,6
00-0033217,Mo Alie-Cox,IND,2024,17,0.04220183486,147,1,12,7,7,7,6,3,M.Alie-Cox,TE,32.7,IND,16,0.08139534884,,7,8,8,8,,M.Alie-Cox,NA,7
00-0033246,Johnny Mundt,MIN,2024,17,0.04522613065,142,2,19,8,7,2,3,7,J.Mundt,TE,50,JAX,16,0.08314350797,,7,8,6,6,,J.Mundt,NA,5
00-0033280,Christian McCaffrey,SF,2024,4,0.1610169492,146,0,15,5,8,2,2,3,C.McCaffrey,RB,47.8,SF,16,,,4,9,2,2,,C.McCaffrey,NA,7
00-0033282,Curtis Samuel,BUF,2024,14,0.10430839,253,1,31,6,8,2,1,2,C.Samuel,WR,89.8,BUF,16,0.1440377804,,5,9,1,1,,C.Samuel,8,8
00-0033288,George Kittle,SF,2024,15,0.1868787276,1106,8,78,2,8,2,2,3,G.Kittle,TE,236.6,SF,16,0.2062671129,,2,9,2,2,,G.Kittle,1,7
00-0033293,Aaron Jones,MIN,2024,17,0.1038525963,408,2,51,4,8,2,3,7,A.Jones,RB,250.6,MIN,16,0.1086625459,,5,9,3,5,,A.Jones,8,4
00-0033357,Taysom Hill,NO,2024,8,0.1225296443,187,0,23,6,7,6,6,4,T.Hill,TE,102.34,NO,16,0.1593382673,,6,8,7,8,,T.Hill,NA,5
00-0033375,Tim Patrick,DET,2024,16,0.08152173913,396,3,33,5,5,1,1,1,T.Patrick,WR,95.6,DET,16,0.1083877996,,6,6,2,2,,T.Patrick,2,5
00-0033526,Samaje Perine,KC,2024,17,0.05460218409,297,1,28,6,7,3,3,4,S.Perine,RB,84.9,KC,16,0.06641366224,,7,8,2,1,,S.Perine,3,3
00-0033536,Mike Williams,PIT,2024,9,0.04207119741,132,1,9,8,8,6,7,4,M.Williams,WR,61.5,LAC,16,0.08110992529,,5,9,4,4,,M.Williams,NA,7
00-0033553,James Conner,ARI,2024,16,0.1024208566,414,1,47,4,8,5,4,3,J.Conner,RB,253.8,ARI,16,0.1054169711,,5,9,5,3,,J.Conner,8,6
