"","PICK","TEAM","SELECTION","RANK","POSITION","TRADE","COMPENSATION"
"1",1,"NO","","","","",""
"2",2,"CLE","","","","",""
"3",3,"TEN","","","","",""
"4",4,"NYG","","","","",""
"5",5,"NYJ","","","","",""
"6",6,"CAR","","","","",""
"7",7,"LV","","","","",""
"8",8,"IND","","","","",""
"9",9,"CLE","","","","",""
"10",10,"LAR","","","","",""
"11",11,"MIA","","","","",""
"12",12,"NE","","","","",""
"13",13,"SEA","","","","",""
"14",14,"ARI","","","","",""
"15",15,"PIT","","","","",""
"16",16,"DAL","","","","",""
"17",17,"CHI","","","","",""
"18",18,"MIN","","","","",""
"19",19,"HOU","","","","",""
"20",20,"TB","","","","",""
"21",21,"DEN","","","","",""
"22",22,"LAC","","","","",""
"23",23,"GB","","","","",""
"24",24,"SF","","","","",""
"25",25,"CIN","","","","",""
"26",26,"WAS","","","","",""
"27",27,"LAR","","","","",""
"28",28,"BUF","","","","",""
"29",29,"DET","","","","",""
"30",30,"BAL","","","","",""
"31",31,"KC","","","","",""
"32",32,"PHI","","","","",""
"33",33,"NO","","","","",""
"34",34,"CLE","","","","",""
"35",35,"TEN","","","","",""
"36",36,"NYG","","","","",""
"37",37,"NYJ","","","","",""
"38",38,"CAR","","","","",""
"39",39,"LV","","","","",""
"40",40,"IND","","","","",""
"41",41,"JAC","","","","",""
"42",42,"ATL","","","","",""
"43",43,"MIA","","","","",""
"44",44,"NE","","","","",""
"45",45,"SEA","","","","",""
"46",46,"ARI","","","","",""
"47",47,"PIT","","","","",""
"48",48,"DAL","","","","",""
"49",49,"CHI","","","","",""
"50",50,"MIN","","","","",""
"51",51,"HOU","","","","",""
"52",52,"TB","","","","",""
"53",53,"DEN","","","","",""
"54",54,"LAC","","","","",""
"55",55,"GB","","","","",""
"56",56,"SF","","","","",""
"57",57,"CIN","","","","",""
"58",58,"HOU","","","","",""
"59",59,"LAR","","","","",""
"60",60,"BUF","","","","",""
"61",61,"DET","","","","",""
"62",62,"BAL","","","","",""
"63",63,"KC","","","","",""
"64",64,"PHI","","","","",""
"65",65,"NO","","","","",""
"66",66,"CLE","","","","",""
"67",67,"TEN","","","","",""
"68",68,"HOU","","","","",""
"69",69,"PHI","","","","",""
"70",70,"CAR","","","","",""
"71",71,"LV","","","","",""
"72",72,"IND","","","","",""
"73",73,"JAC","","","","",""
"74",74,"ATL","","","","",""
"75",75,"MIA","","","","",""
