"player_id","full_name","position","position_group","team","jersey_number","height","weight","years_exp","status","college","player_display_name","games","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr","fantasy_ppg","pass_ypg","rush_ypg","rec_ypg","total_tds"
"00-0035228","Kyler Murray","QB","QB","ARI",1,70,207,5,"ACT","Oklahoma","Kyler Murray",17,372,541,3851,21,11,78,572,5,0,0,0,0,297.24,17.5,226.5,33.6,0,26
"00-0038582","Clayton Tune","QB","QB","ARI",15,75,220,1,"ACT","Houston","Clayton Tune",5,2,2,8,0,0,7,-4,0,0,0,0,0,-2.08,-0.4,1.6,-0.8,0,0
"00-0033553","James Conner","RB","RB","ARI",6,73,233,7,"RES","Pittsburgh","James Conner",16,0,0,0,0,0,236,1094,8,47,55,414,1,253.8,15.9,0,68.4,25.9,9
"00-0038705","Emari Demercado","RB","RB","ARI",31,69,210,1,"RES","Texas Christian","Emari Demercado",13,0,0,0,0,0,24,223,1,16,20,104,0,54.7,4.2,0,17.2,8,1
"00-0039921","Trey Benson","RB","RB","ARI",33,73,215,0,"RES","Florida State","Trey Benson",12,0,0,0,0,0,63,291,1,6,6,59,0,47,3.9,0,24.2,4.9,1
"00-0036924","Michael Carter","RB","RB","ARI",22,68,200,3,"ACT","North Carolina","Michael Carter",3,0,0,0,0,0,35,131,1,11,11,57,0,35.8,11.9,0,43.7,19,1
"00-0036425","DeeJay Dallas","RB","RB","ARI",20,70,214,4,"ACT","Miami","DeeJay Dallas",7,0,0,0,0,0,9,49,0,3,3,11,1,21,3,0,7,1.6,1
"00-0035860","Tony Jones","RB","RB","ARI",37,71,225,4,"ACT","Notre Dame","Tony Jones",1,0,0,0,0,0,4,55,1,0,0,0,0,11.5,11.5,0,55,0,1
"00-0038714","Hassan Hall","RB","RB","ARI",48,70,196,1,"DEV","Georgia Tech",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0037744","Trey McBride","TE","TE","ARI",85,76,245,2,"ACT","Colorado State","Trey McBride",16,0,0,0,0,0,1,2,1,111,147,1146,2,243.8,15.2,0,0.1,71.6,3
"00-0039041","Elijah Higgins","TE","TE","ARI",84,75,234,1,"ACT","Stanford","Elijah Higgins",14,0,0,0,0,0,0,0,0,20,24,172,2,49.2,3.5,0,0,12.3,2
"00-0039737","Tip Reiman","TE","TE","ARI",87,76,270,0,"ACT","Illinois","Tip Reiman",5,0,0,0,0,0,0,0,0,6,7,37,0,9.7,1.9,0,0,7.4,0
"00-0036753","Sage Surratt","TE","TE","ARI",47,75,215,3,"CUT","Wake Forest",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0037020","Bernhard Seikovits","TE","TE","ARI",47,77,262,3,"DEV","No College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038456","Travis Vokolek","TE","TE","ARI",81,78,260,1,"INA","Nebraska",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039849","Marvin Harrison Jr.","WR","WR","ARI",18,76,205,0,"ACT","Ohio State","Marvin Harrison",17,0,0,0,0,0,0,0,0,62,116,885,8,196.5,11.6,0,0,52.1,8
"00-0038559","Michael Wilson","WR","WR","ARI",14,74,209,1,"INA","Stanford","Michael Wilson",16,0,0,0,0,0,1,7,0,47,71,548,4,124.5,7.8,0,0.4,34.2,4
"00-0035500","Greg Dortch","WR","WR","ARI",4,67,173,5,"ACT","Wake Forest","Greg Dortch",17,0,0,0,0,0,5,31,0,37,50,342,3,90.3,5.3,0,1.8,20.1,3
"00-0033891","Zay Jones","WR","WR","ARI",17,74,200,7,"ACT","East Carolina","Zay Jones",6,0,0,0,0,0,0,0,0,8,11,84,0,16.4,2.7,0,0,14,0
"00-0033251","Zach Pascal","WR","WR","ARI",0,74,214,7,"ACT","Old Dominion",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0035510","Jeff Smith","WR","WR","ARI",86,73,195,5,"CUT","Boston College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0035876","Andre Baccellia","WR","WR","ARI",82,70,175,4,"DEV","Washington",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038147","Daylen Baldwin","WR","WR","ARI",86,74,219,2,"CUT","Michigan",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038702","Daniel Arias","WR","WR","ARI",38,76,215,1,"CUT","Colorado",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039397","Tejhaun Palmer","WR","WR","ARI",83,74,210,0,"DEV","Alabama-Birmingham",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039521","Xavier Weaver","WR","WR","ARI",89,73,180,0,"ACT","Colorado","Xavier Weaver",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"00-0029604","Kirk Cousins","QB","QB","ATL",18,75,202,12,"ACT","Michigan State","Kirk Cousins",14,303,453,3508,18,16,23,0,0,0,0,0,0,176.32,12.6,250.6,0,0,18
"00-0039917","Michael Penix Jr.","QB","QB","ATL",9,75,213,0,"ACT","Washington","Michael Penix",5,61,105,775,3,3,7,11,1,0,0,0,0,44.1,8.8,155,2.2,0,4
"00-0026143","Matt Ryan","QB","QB","ATL",2,76,217,16,"RET","Boston College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0033958","Nathan Peterman","QB","QB","ATL",4,74,225,7,"DEV","Pittsburgh",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039331","Emory Jones","QB","QB","ATL",11,74,210,0,"DEV","Cincinnati",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039723","John Paddock","QB","QB","ATL",16,72,190,0,"CUT","Illinois",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038542","Bijan Robinson","RB","RB","ATL",7,71,214,1,"ACT","Texas","Bijan Robinson",17,0,0,0,0,0,304,1456,14,61,72,431,1,341.7,20.1,0,85.6,25.4,15
"00-0037263","Tyler Allgeier","RB","RB","ATL",25,70,220,2,"ACT","Brigham Young","Tyler Allgeier",17,0,0,0,0,0,137,644,3,13,13,88,0,106.2,6.2,0,37.9,5.2,3
"00-0039393","Jase McClellan","RB","RB","ATL",30,71,212,0,"RES","Alabama","Jase McClellan",2,0,0,0,0,0,13,32,0,0,0,0,0,3.2,1.6,0,16,0,0
"00-0036543","Spencer Brown","RB","RB","ATL",42,72,220,3,"CUT","Alabama-Birmingham",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0036950","Avery Williams","RB","RB","ATL",26,69,195,3,"ACT","Boise State",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038419","Robert Burns","RB","RB","ATL",39,71,228,1,"RES","Connecticut",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038862","Elijah Dotson","RB","RB","ATL",41,69,200,1,"DEV","Northern Colorado",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038930","Carlos Washington","RB","RB","ATL",28,71,220,1,"ACT","Southeastern Louisiana",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0036970","Kyle Pitts","TE","TE","ATL",8,78,250,3,"ACT","Florida","Kyle Pitts",17,0,0,0,0,0,0,0,0,47,74,602,4,131.2,7.7,0,0,35.4,4
"00-0036429","Charlie Woerner","TE","TE","ATL",89,77,245,4,"ACT","Georgia","Charlie Woerner",8,0,0,0,0,0,0,0,0,7,12,46,0,11.6,1.4,0,0,5.8,0
"00-0034073","Ross Dwelley","TE","TE","ATL",85,77,240,6,"ACT","San Diego","Ross Dwelley",1,0,0,0,0,0,0,0,0,1,1,5,0,1.5,1.5,0,0,5,0
"00-0039728","Austin Stogner","TE","TE","ATL",88,78,258,0,"CUT","Oklahoma",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0037238","Drake London","WR","WR","ATL",5,76,210,2,"ACT","Southern California","Drake London",17,0,0,0,0,0,1,-3,0,100,158,1271,9,280.8,16.5,0,-0.2,74.8,9
"00-0036309","Darnell Mooney","WR","WR","ATL",1,71,172,4,"INA","Tulane","Darnell Mooney",16,0,1,0,0,0,0,0,0,64,106,992,5,193.2,12.1,0,0,62,5
"00-0034407","Ray-Ray McCloud","WR","WR","ATL",34,69,190,6,"ACT","Clemson","Ray-Ray McCloud",17,0,0,0,0,0,10,79,0,62,87,686,1,142.5,8.4,0,4.6,40.4,1
"00-0034854","KhaDarel Hodge","WR","WR","ATL",12,74,205,6,"ACT","Prairie View","KhaDarel Hodge",6,0,0,0,0,0,0,0,0,7,12,131,1,32.1,5.3,0,0,21.8,1
"00-0036463","Chris Blair","WR","WR","ATL",19,74,200,4,"ACT","Alcorn State","Chris Blair",2,0,0,0,0,0,0,0,0,1,2,17,0,2.7,1.4,0,0,8.5,0
"00-0039394","Casey Washington","WR","WR","ATL",82,72,200,0,"ACT","Illinois","Casey Washington",2,0,0,0,0,0,0,0,0,1,2,14,0,2.4,1.2,0,0,7,0
"00-0032208","Phillip Dorsett","WR","WR","ATL",16,70,192,9,"DEV","Miami",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0032791","Jakeem Grant","WR","WR","ATL",84,67,169,8,"DEV","Texas Tech",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0035869","Austin Mack","WR","WR","ATL",81,74,215,4,"CUT","Ohio State",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0036936","Rondale Moore","WR","WR","ATL",14,67,180,3,"RES","Purdue",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038149","Josh Ali","WR","WR","ATL",80,72,193,2,"CUT","Kentucky",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038726","Jesse Matthews","WR","WR","ATL",86,72,190,1,"DEV","San Diego State",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038953","Dylan Drummond","WR","WR","ATL",81,72,186,1,"DEV","Eastern Michigan",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039848","OJ Hiliare","WR","WR","ATL",11,72,185,0,"CUT","Bowling Green",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0034796","Lamar Jackson","QB","QB","BAL",8,74,212,6,"ACT","Louisville","Lamar Jackson",19,350,520,4601,45,5,160,1035,4,0,0,0,0,471.54,24.8,242.2,54.5,0,49
"00-0026300","Josh Johnson","QB","QB","BAL",17,75,219,16,"ACT","San Diego","Josh Johnson",4,2,3,17,0,0,4,1,0,0,0,0,0,0.78,0.2,4.2,0.2,0,0
"00-0039801","Devin Leary","QB","QB","BAL",13,73,212,0,"DEV","Kentucky",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0032764","Derrick Henry","RB","RB","BAL",22,75,247,8,"ACT","Alabama","Derrick Henry",19,0,0,0,0,0,367,2191,19,19,24,193,2,381.4,20.1,0,115.3,10.2,21
"00-0034975","Justice Hill","RB","RB","BAL",43,70,200,5,"ACT","Oklahoma State","Justice Hill",17,0,0,0,0,0,59,290,1,48,57,403,4,147.3,8.7,0,17.1,23.7,5
"00-0038454","Keaton Mitchell","RB","RB","BAL",34,68,184,1,"ACT","East Carolina","Keaton Mitchell",2,0,0,0,0,0,15,30,0,1,1,28,0,6.8,3.4,0,15,14,0
"00-0039796","Rasheen Ali","RB","RB","BAL",26,71,209,0,"INA","Marshall","Rasheen Ali",4,0,0,0,0,0,10,31,0,0,2,0,0,3.1,0.8,0,7.8,0,0
"00-0033376","Patrick Ricard","RB","RB","BAL",42,75,311,7,"ACT","Maine",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
