posteam,team,season,myRankNum,myRank,passOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
KC,KC,2022,1,3,1,1,1554.54,5066,41,0.538,0.9677,1,1,1
CIN,CIN,2024,1,2.9677,1,1,1654.09,4640,46,0.514,1,1,1,0.9677
TB,TB,2021,1,2.9677,1,1,1649.55,5229,45,0.522,1,1,0.9677,1
NO,NO,2016,1,2.9355,1,1,1462.62,5074,41,0.519,1,1,0.9677,0.9677
KC,KC,2018,1,2.9032,1,1,1366.61,4955,52,0.519,0.871,0.9355,1,0.9677
MIA,MIA,2023,1,2.871,1,1,1190.84,4514,34,0.491,0.5806,1,0.9355,0.9355
KC,KC,2020,1,2.8387,1,1,1469.64,4860,40,0.53,0.9355,1,0.871,0.9677
NE,NE,2017,1,2.7419,1,1,1262.36,4422,34,0.481,0.9677,0.9677,0.9032,0.871
NO,NO,2019,1,2.7419,1,1,1339.32,4244,36,0.537,0.9032,0.8065,0.9355,1
ATL,ATL,2016,2,2.871,1,1,1249.2,4727,40,0.526,0.7419,0.9355,0.9355,1
DET,DET,2024,2,2.871,1,1,1398.34,4476,39,0.552,0.9355,0.9677,0.9032,1
SF,SF,2023,2,2.8387,1,1,1101.43,4384,34,0.537,0.2903,0.9032,0.9355,1
BUF,BUF,2020,2,2.8065,1,1,1486.25,4620,40,0.54,1,0.9355,0.871,1
DAL,DAL,2021,2,2.8065,1,1,1461.26,4804,42,0.504,0.871,0.9355,0.9355,0.9355
IND,IND,2018,2,2.7419,1,1,1387.29,4465,42,0.511,0.9677,0.8387,0.9677,0.9355
TB,TB,2019,2,2.7097,1,1,1271.27,4849,40,0.476,0.8065,1,1,0.7097
BUF,BUF,2022,2,2.6452,1,1,1315.78,4131,35,0.493,0.8065,0.7742,0.9355,0.9355
PIT,PIT,2017,2,2.5806,1,1,1233.3,4392,31,0.48,0.871,0.9355,0.8065,0.8387
DAL,DAL,2023,3,2.8065,1,1,1554.75,4403,37,0.486,1,0.9355,1,0.871
TB,TB,2024,3,2.8065,1,1,1336.54,4259,41,0.507,0.7742,0.9355,0.9355,0.9355
LA,LA,2021,3,2.7419,1,1,1428.55,4646,45,0.502,0.8387,0.871,0.9677,0.9032
TB,TB,2018,3,2.7419,1,1,1376.86,5127,40,0.498,0.9355,1,0.9355,0.8065
DAL,DAL,2019,3,2.6774,1,1,1230.88,4753,30,0.514,0.6452,0.9677,0.7419,0.9677
GB,GB,2020,3,2.6452,1,1,1198.74,4106,49,0.528,0.4194,0.7097,1,0.9355
CIN,CIN,2022,3,2.6129,1,1,1436.3,4246,37,0.483,0.871,0.8065,0.9677,0.8387
GB,GB,2016,3,2.6129,1,1,1459.49,4201,41,0.479,0.9677,0.8065,0.9677,0.8387
LAC,LAC,2017,3,2.5484,1,1,1081.88,4431,29,0.473,0.4839,1,0.7419,0.8065
DET,DET,2023,4,2.7742,1,1,1324.01,4405,33,0.491,0.8387,0.9677,0.9032,0.9032
ATL,ATL,2018,4,2.6774,1,1,1362.73,4657,39,0.508,0.8387,0.9032,0.9032,0.871
KC,KC,2021,4,2.6774,1,1,1605.6,4791,38,0.521,0.9677,0.9032,0.8065,0.9677
BAL,BAL,2024,4,2.6452,1,1,1031.21,4035,41,0.504,0.129,0.8065,0.9355,0.9032
TB,TB,2020,4,2.6129,1,1,1361.96,4626,44,0.495,0.8387,0.9677,0.9677,0.6774
NE,NE,2016,4,2.5806,1,1,1152.19,4308,32,0.5,0.4194,0.9032,0.7742,0.9032
