passer_player_id,passer_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,teamQBTier,ctotalEPA,ctotalEP,cCPOE,cactualization,cYPG,cTDperGame,intPerGame,cthirdConvert,EPA_rank,EP_rank,CPOE_rank,YPG_rank,TD_rank,actualization_rank,int_rank,third_rank,EPA_rank_num,EP_rank_num,CPOE_rank_num,YPG_rank_num,TD_rank_num,actualization_rank_num,int_rank_num,third_rank_num
00-0034796,L.Jackson,BAL,BAL,2024,QB,17,1,0.939,1,1,1,179.92,1325.42,4.552,0.93,289.4,2.65,0.24,0.537,0.9787,0.7872,0.8936,1,0.9787,0.8511,0.0851,0.8261,2,11,6,1,2,8,5,9
00-0033873,P.Mahomes,KC,KC,2022,QB,17,1,0.9361,1,1,1,199.28,1696.26,3.572,1.028,320.5,2.66,0.71,0.615,1,1,0.9483,1,0.9828,0.9483,0.4655,0.9649,1,1,4,1,2,4,28,3
00-0023459,A.Rodgers,GB,GB,2020,QB,16,1,0.9273,1,1,1,178.69,1280.83,7.186,0.959,267.2,3.26,0.31,0.566,0.9787,0.7872,0.9787,0.8085,1,0.8298,0.1064,0.9111,2,11,2,10,1,9,6,5
00-0019596,T.Brady,NE,NE,2016,QB,12,1,0.9167,1,1,3,131.17,959.27,3.651,0.995,294.9,2.33,0.17,0.551,0.9545,0.4318,0.8222,0.9318,0.9091,0.9778,0.0889,0.8537,3,26,9,4,5,2,5,7
00-0023459,A.Rodgers,GB,GB,2021,QB,16,1,0.915,1,1,2,127.45,1340.58,5.772,0.907,252.2,2.44,0.25,0.701,0.94,0.86,0.96,0.76,0.92,0.86,0,1,4,8,3,13,5,8,3,1
00-0033873,P.Mahomes,KC,KC,2018,QB,16,1,0.9055,1,1,1,226.7,1506.07,4.472,0.896,325,3.38,0.75,0.528,1,1,0.8723,1,1,0.8298,0.4468,0.8,1,1,7,1,1,9,23,10
00-0037834,B.Purdy,SF,SF,2023,QB,16,1,0.9028,1,1,1,150.28,1052.55,5.384,1.068,269,2.15,0.69,0.619,1,0.6667,0.963,0.9074,0.9074,0.9815,0.5185,0.9259,1,19,3,6,6,2,29,5
00-0033873,P.Mahomes,KC,KC,2019,QB,14,1,0.8965,1,1,3,138.75,1138.14,2.461,0.88,295.8,2.01,0.36,0.662,0.9796,0.6531,0.84,0.9388,0.7959,0.84,0.12,0.9556,2,18,9,4,11,9,7,3
00-0023436,A.Smith,KC,KC,2017,QB,15,1,0.8858,1,1,1,99.88,1174.2,4.993,0.923,279.3,1.8,0.33,0.446,0.9556,0.8444,0.9556,1,0.7333,0.9778,0.0222,0.5909,3,8,3,1,13,2,2,19
00-0036442,J.Burrow,CIN,CIN,2024,QB,17,2,0.9319,1,1,1,115.79,1737.31,6.787,0.934,285.5,2.83,0.53,0.608,0.9362,1,0.9574,0.9787,1,0.8936,0.3191,0.9783,4,1,3,2,1,6,16,2
00-0026143,M.Ryan,ATL,ATL,2016,QB,16,2,0.9134,1,1,1,164.18,1327.04,6.917,0.947,302.9,2.5,0.44,0.478,1,0.8636,1,0.9773,0.9545,0.8667,0.2667,0.6585,1,7,1,2,3,7,13,15
00-0033873,P.Mahomes,KC,KC,2020,QB,15,2,0.907,1,1,1,185.5,1493.9,2.834,0.896,333.3,2.78,0.4,0.547,1,0.9574,0.766,0.9787,0.9362,0.7021,0.1277,0.8889,1,3,12,2,4,15,7,6
00-0036389,J.Hurts,PHI,PHI,2022,QB,15,2,0.9056,1,1,2,86.34,1484.45,2.717,0.859,282.3,2.47,0.4,0.497,0.9655,0.8966,0.8621,0.9483,0.931,0.7931,0.069,0.7719,3,7,9,4,5,13,5,14
00-0034796,L.Jackson,BAL,BAL,2019,QB,15,2,0.8962,1,1,1,194.68,1327.51,3.813,0.804,282.4,2.87,0.4,0.514,1,0.8571,0.88,0.898,1,0.64,0.16,0.7556,1,8,7,6,1,19,10,12
00-0020531,D.Brees,NO,NO,2018,QB,15,2,0.8904,1,1,1,145.65,1294.17,6.495,1.065,260,2.47,0.33,0.52,0.9787,0.7872,0.9787,0.6383,0.9149,1,0.0638,0.7556,2,11,2,18,5,1,4,12
00-0033873,P.Mahomes,KC,KC,2021,QB,17,2,0.8849,1,1,1,142.61,1732.75,2.674,0.93,301.7,2.37,0.76,0.62,1,0.96,0.84,0.98,0.86,0.9,0.52,0.9388,1,3,9,2,8,6,27,4
