fantasy_player_id,fantasy_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,rbTier,tier,totalEPA,totalTD,run_share,YPG,EPA_rank,td_rank,run_rank,YPG_rank,tgt_share,conversion,explosive_rate,third_down_rate,avg_eff,avg_RYOE_perAtt,tgt_rank,third_rank,conversion_rank,explosive_rank,RYOE_rank,eff_rank,EPA_rank_num,td_rank_num,run_rank_num,tgt_rank_num,YPG_rank_num,third_rank_num,conversion_rank_num,explosive_rank_num,RYOE_rank_num,eff_rank_num
00-0036223,J.Taylor,IND,IND,2021,RB,17,1,0.9111,1,1,38.7,20,0.6817,106.5,1,0.9666666666666667,0.9555555555555556,0.9888888888888889,0.0933572710951526,0.157,0.06927710843373494,0.6451612903225806,3.3598675478200968,1.2443214223971344,0.6777777777777778,0.6633663366336634,0.5714285714285714,0.8555555555555555,0.9428571428571428,0.9238095238095239,1,4,5,30,2,35,46,14,7,9
00-0033280,C.McCaffrey,SF,SF,2023,RB,16,1,0.9,1,1,20.84,22,0.6099,91.2,0.9886363636363636,0.987012987012987,0.8831168831168831,0.987012987012987,0.16835699797160245,0.2,0.07352941176470588,0.5714285714285714,3.861652534321336,1.1458506935299944,0.987012987012987,0.7093023255813954,0.75,0.9054054054054054,0.9318181818181818,0.6590909090909091,2,2,10,2,2,25,21,8,7,31
00-0032764,D.Henry,BAL,BAL,2024,RB,17,1,0.8914,1,1,49.61,19,0.6007,113,0.9880952380952381,0.9736842105263158,0.8552631578947368,0.9868421052631579,0.04417670682730924,0.25,0.07692307692307693,0.6818181818181818,3.1873416053424237,1.9130423484147117,0.39473684210526316,0.8333333333333334,0.8674698795180723,0.9178082191780822,0.9404761904761905,0.9404761904761905,2,3,12,47,2,15,10,6,6,6
00-0032764,D.Henry,TEN,TEN,2020,RB,16,1,0.8787,1,1,26.91,17,0.7436,126.8,0.9833333333333333,0.9795918367346939,0.9897959183673469,1,0.06042884990253411,0.197,0.05526315789473684,0.8,3.998017030298037,0.862612339848352,0.5408163265306123,0.8434782608695652,0.5555555555555556,0.6538461538461539,0.9083333333333333,0.45,3,3,2,46,1,18,53,37,12,67
00-0033553,J.Conner,PIT,PIT,2018,RB,13,1,0.8694,1,1,10.6,13,0.7904,74.8,0.8522727272727273,0.9285714285714286,1,0.9142857142857143,0.12436115843270869,0.294,0.07441860465116279,0.6666666666666666,3.5491609722552084,0.7369301074753196,0.8285714285714286,0.8333333333333334,0.9294117647058824,0.7631578947368421,0.8636363636363636,0.8863636363636364,14,5,1,13,7,14,7,19,13,11
00-0032764,D.Henry,TEN,TEN,2019,RB,15,1,0.8593,1,1,3.11,18,0.7537,102.7,0.7346938775510204,1,0.9629629629629629,1,0.05128205128205128,0.289,0.0594059405940594,0.75,3.8986377529837277,1.0904073020192144,0.4567901234567901,0.8494623655913979,0.8865979381443299,0.797752808988764,0.9387755102040817,0.6632653061224489,27,1,4,45,1,15,12,19,7,34
00-0034791,N.Chubb,CLE,CLE,2022,RB,17,1,0.8367,1,1,22.24,13,0.5838,89.8,0.9891304347826086,0.9166666666666666,0.9,0.9666666666666667,0.06379310344827586,0.214,0.07590759075907591,0.6,4.301819109781496,1.0207237177881674,0.4666666666666667,0.7142857142857143,0.7386363636363636,0.8860759493670886,0.8478260869565217,0.2826086956521739,2,6,7,33,3,25,24,10,15,67
00-0030496,L.Bell,PIT,PIT,2016,RB,12,1,0,1,1,31.42,9,0.8969,105.7,1,0.8888888888888888,1,0.9841269841269841,0.20787746170678337,0.212,0.03065134099616858,0.4782608695652174,4.119862535445866,NA,1,0.47191011235955055,0.7391304347826086,0.27380952380952384,NA,0.6236559139784946,1,7,1,1,2,48,25,62,62,36
00-0033906,A.Kamara,NO,NO,2017,RB,16,1,0,1,1,68.43,13,0.2847,45.6,1,0.9577464788732394,0.39436619718309857,0.676056338028169,0.18083182640144665,0.231,0.10743801652892562,0.5,4.150971944729801,NA,0.971830985915493,0.39080459770114945,0.7816091954022989,0.9876543209876543,NA,0.5909090909090909,1,3,44,3,24,48,20,2,2,37
00-0034844,S.Barkley,PHI,PHI,2024,RB,16,2,0.8871,1,1,49.46,16,0.6042,125.7,0.9761904761904762,0.9342105263157895,0.881578947368421,1,0.09555555555555556,0.094,0.07183908045977011,0.5161290322580645,3.3804281280097355,1.7313763102195656,0.7631578947368421,0.4523809523809524,0.2289156626506024,0.9041095890410958,0.9285714285714286,0.9047619047619048,3,4,10,19,1,47,65,8,7,9
