posteam,team,season,myRankNum,myRank,runOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
PHI,PHI,2021,1,2.9677,1,1,1441.34,2731,25,0.517,1,1,1,0.9677
BAL,BAL,2019,1,2.9355,1,1,1481.36,3326,21,0.508,1,1,0.9355,1
BUF,BUF,2016,1,2.9355,1,1,1107.54,2641,29,0.48,0.9032,1,1,0.9355
LA,LA,2018,1,2.9032,1,1,1124.92,2262,23,0.517,0.8387,0.9355,0.9677,1
PHI,PHI,2022,1,2.871,1,1,1391.26,2536,32,0.528,0.9677,0.9032,1,0.9677
WAS,WAS,2024,1,2.8387,1,1,1486.73,2637,25,0.515,0.9355,0.9355,0.9032,1
NO,NO,2020,1,2.8065,1,1,1313.63,2286,30,0.505,0.9677,0.8387,1,0.9677
SF,SF,2023,1,2.8065,1,1,1338.05,2413,27,0.503,0.9355,0.9355,0.9355,0.9355
DAL,DAL,2017,1,2.7742,1,1,1183.25,2178,18,0.455,0.9355,0.9677,0.871,0.9355
DAL,DAL,2016,2,2.9355,1,1,1187.19,2419,24,0.487,1,0.9677,0.9677,1
BAL,BAL,2024,2,2.8065,1,1,1280.57,3180,22,0.501,0.7742,1,0.8387,0.9677
BAL,BAL,2018,2,2.7742,1,1,1323.36,2465,19,0.482,0.9677,0.9677,0.9032,0.9032
BAL,BAL,2020,2,2.7742,1,1,1366.49,3086,24,0.483,1,1,0.9355,0.8387
BAL,BAL,2023,2,2.7419,1,1,1365.39,2676,26,0.463,1,1,0.9032,0.8387
IND,IND,2021,2,2.7097,1,1,1375.51,2554,22,0.497,0.9677,0.9677,0.8387,0.9032
NO,NO,2017,2,2.6129,1,1,1137.34,2094,23,0.426,0.9032,0.871,1,0.7419
TEN,TEN,2019,2,2.6129,1,1,951.39,2242,21,0.437,0.4839,0.9355,0.9355,0.7419
ATL,ATL,2022,2,2.4516,1,1,1461.04,2730,17,0.489,1,0.9355,0.6774,0.8387
NO,NO,2018,3,2.7419,1,1,1351.27,2056,27,0.48,1,0.871,1,0.871
TEN,TEN,2020,3,2.7419,1,1,1280.07,2711,26,0.474,0.9355,0.9677,0.9677,0.8065
PHI,PHI,2024,3,2.7097,1,1,1621.05,3078,30,0.482,1,0.9677,0.9355,0.8065
TEN,TEN,2016,3,2.7097,1,1,1049.78,2201,18,0.483,0.7742,0.9355,0.8065,0.9677
BUF,BUF,2023,3,2.6129,1,1,1316.62,2234,22,0.506,0.9032,0.8065,0.8387,0.9677
BAL,BAL,2021,3,2.5484,1,1,1203.04,2487,19,0.493,0.7742,0.9355,0.7419,0.871
DAL,DAL,2019,3,2.5161,1,1,1166.97,2165,18,0.48,0.871,0.871,0.7097,0.9355
NE,NE,2017,3,2.5161,1,1,1205.43,1903,17,0.467,1,0.7097,0.8387,0.9677
CLE,CLE,2022,3,2.3871000000000002,1,1,1234.81,2501,19,0.455,0.7742,0.8387,0.8387,0.7097
DET,DET,2024,4,2.7097,1,1,1516.08,2507,30,0.493,0.9677,0.8387,0.9355,0.9355
DET,DET,2023,4,2.6129,1,1,1342.11,2331,27,0.459,0.9677,0.871,0.9355,0.8065
MIN,MIN,2020,4,2.6129,1,1,1264.71,2297,21,0.503,0.871,0.871,0.8065,0.9355
CAR,CAR,2018,4,2.5484,1,1,1031.51,2152,17,0.454,0.7419,0.9032,0.8387,0.8065
NE,NE,2021,4,2.5484,1,1,1343.35,2181,24,0.486,0.9355,0.7742,0.9677,0.8065
CAR,CAR,2017,4,2.5161,1,1,1111,2129,16,0.429,0.8387,0.9032,0.8065,0.8065
IND,IND,2019,4,2.4839,1,1,1211.66,2146,18,0.503,0.9677,0.8065,0.7097,0.9677
ATL,ATL,2016,4,2.4194,1,1,1144.58,1943,20,0.427,0.9355,0.8387,0.9032,0.6774
NYG,NYG,2022,4,2.3226,1,1,1196.21,2534,21,0.449,0.7419,0.871,0.871,0.5806
PHI,PHI,2023,5,2.6129,2,2,1279.81,2202,22,0.507,0.8065,0.7742,0.8387,1
BUF,BUF,2024,5,2.5806,2,2,1336.11,2249,32,0.484,0.871,0.7419,1,0.8387
BUF,BUF,2021,5,2.4516,2,2,1224.12,2235,20,0.492,0.8387,0.8387,0.7742,0.8387
NE,NE,2020,5,2.4516,2,2,1266.95,2358,20,0.484,0.9032,0.9032,0.6774,0.871
SF,SF,2019,5,2.4194,2,2,1186.82,2324,23,0.413,0.9032,0.9677,1,0.4516
DEN,DEN,2018,5,2.3548,2,2,819.45,1916,19,0.468,0.1613,0.6129,0.9032,0.8387
LA,LA,2017,5,2.3226,2,2,1028.31,1976,18,0.416,0.7419,0.7742,0.871,0.6774
BAL,BAL,2022,5,2.2903,2,2,1260.06,2743,14,0.504,0.8387,0.9677,0.3871,0.9355
LV,LV,2016,5,2.2258,2,2,933.68,1953,17,0.424,0.5161,0.871,0.7097,0.6452
GB,GB,2024,6,2.4839,2,2,1388.17,2507,23,0.482,0.9032,0.8387,0.871,0.7742
MIA,MIA,2023,6,2.4839,2,2,1139.49,2327,27,0.451,0.6129,0.8387,0.9355,0.7097
CLE,CLE,2021,6,2.3871000000000002,2,2,1224.03,2485,20,0.473,0.8065,0.9032,0.7742,0.7097
NE,NE,2018,6,2.3548,2,2,1198.01,2055,18,0.443,0.9355,0.8387,0.871,0.6452
ARI,ARI,2020,6,2.3548,2,2,1250.56,2257,22,0.462,0.8065,0.8065,0.9032,0.6452
SEA,SEA,2019,6,2.3226,2,2,1090.16,2215,16,0.456,0.8387,0.9032,0.5161,0.9032
BAL,BAL,2017,6,2.2903,2,2,1099.7,1873,15,0.449,0.8065,0.6774,0.7097,0.9032
BUF,BUF,2022,6,2.2903,2,2,1072.82,2263,16,0.54,0.4839,0.7419,0.5484,1
NO,NO,2016,6,2.2258,2,2,1055.7,1758,18,0.463,0.8387,0.5161,0.8065,0.9032
CHI,CHI,2023,7,2.4516,2,2,1240.15,2420,16,0.467,0.6774,0.9677,0.6129,0.871
TB,TB,2024,7,2.3871000000000002,2,2,1237.85,2548,16,0.493,0.6774,0.9032,0.5806,0.9032
SF,SF,2021,7,2.2903,2,2,1103.81,2183,22,0.465,0.4516,0.8065,0.8387,0.6452
TEN,TEN,2017,7,2.2903,2,2,974.52,1846,19,0.428,0.5484,0.5484,0.9677,0.7742
