receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,wrTier,tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0033908,C.Kupp,LA,LA,2021,WR,17,1,0.9365,1,1,112.94,17,0.2995,1949,145,0.333,0.224,3.64,8.58,76.84,1.63,0.619,1,1,1,1,0.7080745341614907,0.7579617834394905,0.8869047619047619,0.2619047619047619,0.9226190476190477,0.9285714285714286,0.8928571428571429,1,1,1,1,36,39,20,125,14,13,19
00-0033040,T.Hill,MIA,MIA,2023,WR,16,1,0.9205,1,1,91.75,14,0.3028,1799,119,0.154,0.308,3.25,11.08,69.557,0.86,0.63,0.9931506849315068,1,1,1,0.37777777777777777,0.95,0.773972602739726,0.5616438356164384,0.7945205479452054,0.9586206896551724,0.6620689655172414,2,1,1,1,85,8,34,65,31,7,50
00-0036900,J.Chase,CIN,CIN,2024,WR,17,1,0.8947,1,1,77.01,18,0.2496,1708,127,0.222,0.206,3.2,8.67,74.166,2.87,0.472,0.993421052631579,1,0.9465648854961832,1,0.4689655172413793,0.5804195804195804,0.6842105263157895,0.2565789473684211,0.868421052631579,0.6644736842105263,0.9671052631578947,2,1,8,1,74,61,49,114,21,52,6
00-0027793,A.Brown,PIT,PIT,2017,WR,14,1,0.8912,1,1,42.92,11,0.2978,1535,101,0.261,0.224,2.69,13.7,61.586,1.01,0.463,0.9403973509933775,0.9824561403508771,0.9912280701754386,1,0.6737588652482269,0.8169014084507042,0.6357615894039735,0.7615894039735099,0.6556291390728477,0.7218543046357616,0.8211920529801324,10,3,2,1,47,27,56,37,53,43,28
00-0033921,C.Godwin,TB,TB,2019,WR,14,1,0.8861,1,1,85.91,9,0.2027,1335,86,0.333,0.279,2.71,10.56,69.267,2.53,0.531,0.9940828402366864,0.9849624060150376,0.8120300751879699,0.9924812030075187,0.7254901960784313,0.9056603773584906,0.4970414201183432,0.41420118343195267,0.8165680473372781,0.7857142857142857,0.9520958083832335,2,3,26,2,34,16,86,100,32,36,9
00-0033040,T.Hill,KC,KC,2020,WR,15,1,0.8821,1,1,75.19,15,0.2167,1276,87,0.421,0.237,3.46,13.7,66.168,1.67,0.515,0.9878787878787879,0.9932885906040269,0.8993288590604027,0.959731543624161,0.8571428571428571,0.740506329113924,0.8424242424242424,0.793939393939394,0.5696969696969697,0.696969696969697,0.9212121212121213,3,2,16,7,23,42,27,35,72,51,14
00-0036358,C.Lamb,DAL,DAL,2022,WR,17,1,0.8764,1,1,61.8,9,0.2676,1359,107,0.333,0.269,3.22,9.93,70.49,0.89,0.452,0.9731543624161074,0.9363636363636364,0.9727272727272728,0.9363636363636364,0.7928571428571428,0.8888888888888888,0.7315436241610739,0.40268456375838924,0.7919463087248322,0.6174496644295302,0.6912751677852349,5,7,4,8,21,16,41,90,32,58,47
00-0033040,T.Hill,KC,KC,2018,WR,16,1,0.8737,1,1,81.79,12,0.225,1479,87,0.312,0.263,3.14,15.44,62.284,1.39,0.5,0.99375,0.9669421487603306,0.8925619834710744,0.9669421487603306,0.6821192052980133,0.8653846153846154,0.75,0.89375,0.46875,0.6875,0.8490566037735849,2,4,14,5,49,22,41,18,86,48,25
00-0027793,A.Brown,PIT,PIT,2016,WR,15,1,0.8528,1,1,48.74,12,0.2702,1284,106,0.222,0.217,2.92,11.48,68.145,-0.36,0.41,0.9419354838709677,0.9905660377358491,0.9716981132075472,0.9716981132075472,0.5374149659863946,0.75,0.7354838709677419,0.45806451612903226,0.7612903225806451,0.4805194805194805,0.5096774193548387,10,2,4,4,67,38,42,85,38,81,77
00-0033921,C.Godwin,TB,TB,2024,WR,7,2,0.886,1,1,35.51,5,0.2412,585,50,0.429,0.226,3.29,5.72,80.901,1.98,0.667,0.8289473684210527,0.9618320610687023,0.916030534351145,0.9694656488549618,0.8,0.7272727272727273,0.743421052631579,0.06578947368421052,0.9671052631578947,0.9671052631578947,0.9013157894736842,27,6,12,5,29,40,40,143,6,5,16
