"player_id","full_name","position","position_group","team","jersey_number","height","weight","years_exp","status","college","player_display_name.x","games","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr","passer_player_name","passing_epa_total","passing_epa_per_play","passing_plays","rusher_player_name","rushing_epa_total","rushing_epa_per_play","rushing_plays","receiver_player_name","receiving_epa_total","receiving_epa_per_play","receiving_plays","player_display_name.y","avg_time_to_throw","avg_completed_air_yards","avg_intended_air_yards.x","completion_percentage_above_expectation","aggressiveness","max_completed_air_distance","player_display_name.x.x","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","expected_rush_yards","rush_yards_over_expected","rush_pct_over_expected","player_display_name.y.y","avg_cushion","avg_separation","avg_intended_air_yards.y","percent_share_of_intended_air_yards","catch_percentage","avg_yac","avg_expected_yac","avg_yac_above_expectation","fantasy_ppg","pass_ypg","rush_ypg","rec_ypg","total_tds","total_epa","ngs_avg_time_to_throw","ngs_avg_completed_air_yards","ngs_avg_intended_air_yards","ngs_completion_pct_above_expectation","ngs_aggressiveness","ngs_max_completed_air_distance","ngs_efficiency","ngs_pct_attempts_gte_eight_defenders","ngs_avg_time_to_los","ngs_expected_rush_yards","ngs_rush_yards_over_expected","ngs_rush_pct_above_expectation","ngs_avg_cushion","ngs_avg_separation","ngs_rec_avg_intended_air_yards","ngs_pct_share_intended_air_yards","ngs_catch_percentage","ngs_avg_yac","ngs_avg_expected_yac","ngs_avg_yac_above_expectation"
"00-0035228","Kyler Murray","QB","QB","ARI",1,70,207,5,"ACT","Oklahoma","Kyler Murray",17,372,541,3851,21,11,78,572,5,0,0,0,0,297.24,"K.Murray",44.5,0.078,570,"K.Murray",-3.28,-0.103,32,NA,0,0,0,"Kyler Murray",2.81053461257354,5.04363633370294,7.07281452324553,2.48622277842219,16.8350237008211,44.7726758190752,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,17.5,226.5,33.6,0,26,41.22,2.81053461257354,5.04363633370294,7.07281452324553,2.48622277842219,16.8350237008211,44.7726758190752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038582","Clayton Tune","QB","QB","ARI",15,75,220,1,"ACT","Houston","Clayton Tune",5,2,2,8,0,0,7,-4,0,0,0,0,0,-2.08,"C.Tune",-1.13,-0.564,2,"C.Tune",-8.65,-1.73,5,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,-0.4,1.6,-0.8,0,0,-9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0033553","James Conner","RB","RB","ARI",6,73,233,7,"RES","Pittsburgh","James Conner",16,0,0,0,0,0,236,1094,8,47,55,414,1,253.8,NA,0,0,0,"J.Conner",1.23,0.005,239,"J.Conner",18.19,0.387,47,NA,0,0,0,0,0,0,"James Conner",3.95227734223701,26.4777181372789,2.86463102476829,1863.44425490624,242.555745093759,0.413016622853075,NA,0,0,0,0,0,0,0,0,15.9,0,68.4,25.9,9,19.42,0,0,0,0,0,0,3.95227734223701,26.4777181372789,2.86463102476829,1863.44425490624,242.555745093759,0.413016622853075,0,0,0,0,0,0,0,0
"00-0038705","Emari Demercado","RB","RB","ARI",31,69,210,1,"RES","Texas Christian","Emari Demercado",13,0,0,0,0,0,24,223,1,16,20,104,0,54.7,NA,0,0,0,"E.Demercado",12.36,0.515,24,"E.Demercado",-0.99,-0.062,16,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4.2,0,17.2,8,1,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039921","Trey Benson","RB","RB","ARI",33,73,215,0,"RES","Florida State","Trey Benson",12,0,0,0,0,0,63,291,1,6,6,59,0,47,NA,0,0,0,"T.Benson",-4.97,-0.079,63,"T.Benson",3.1,0.517,6,NA,0,0,0,0,0,0,"Trey Benson",10.0072903225806,9.54545454545455,3.07538888888889,86.1080056761068,-14.1080056761068,0.3,NA,0,0,0,0,0,0,0,0,3.9,0,24.2,4.9,1,-1.87,0,0,0,0,0,0,10.0072903225806,9.54545454545455,3.07538888888889,86.1080056761068,-14.1080056761068,0.3,0,0,0,0,0,0,0,0
"00-0036924","Michael Carter","RB","RB","ARI",22,68,200,3,"ACT","North Carolina","Michael Carter",3,0,0,0,0,0,35,131,1,11,11,57,0,35.8,NA,0,0,0,"M.Carter",-0.48,-0.014,35,"M.Carter",0.96,0.087,11,NA,0,0,0,0,0,0,"Michael Carter",4.64388372093023,29.185520361991,2.66694358974359,134.405954828004,-27.4059548280041,0.34375,NA,0,0,0,0,0,0,0,0,11.9,0,43.7,19,1,0.48,0,0,0,0,0,0,4.64388372093023,29.185520361991,2.66694358974359,134.405954828004,-27.4059548280041,0.34375,0,0,0,0,0,0,0,0
"00-0036425","DeeJay Dallas","RB","RB","ARI",20,70,214,4,"ACT","Miami","DeeJay Dallas",7,0,0,0,0,0,9,49,0,3,3,11,1,21,NA,0,0,0,"D.Dallas",1.28,0.142,9,"D.Dallas",1.62,0.54,3,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,0,7,1.6,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0035860","Tony Jones","RB","RB","ARI",37,71,225,4,"ACT","Notre Dame","Tony Jones",1,0,0,0,0,0,4,55,1,0,0,0,0,11.5,NA,0,0,0,"T.Jones",2.86,0.716,4,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,11.5,0,55,0,1,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038714","Hassan Hall","RB","RB","ARI",48,70,196,1,"DEV","Georgia Tech",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0037744","Trey McBride","TE","TE","ARI",85,76,245,2,"ACT","Colorado State","Trey McBride",16,0,0,0,0,0,1,2,1,111,147,1146,2,243.8,NA,0,0,0,"T.McBride",0.6,0.601,1,"T.McBride",82.3,0.741,111,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,"Trey McBride",5.00536078643579,3.41477383635198,6.71749224386724,28.8744090298445,75.9743695457981,4.72499606749607,4.02517320694307,0.699822860552999,15.2,0,0.1,71.6,3,82.9,0,0,0,0,0,0,0,0,0,0,0,0,5.00536078643579,3.41477383635198,6.71749224386724,28.8744090298445,75.9743695457981,4.72499606749607,4.02517320694307,0.699822860552999
