"player_id","player_name","season","games","passing_plays_total","passing_epa_total","passing_epa_avg","rushing_plays_total","rushing_epa_total","rushing_epa_avg","receiving_plays_total","receiving_epa_total","receiving_epa_avg","total_epa"
"00-0023459","A.Rodgers",2024,17,627,-1.26,-0.007,1,0.48,0.48,0,0,NA,-0.78
"00-0024243","M.Lewis",2024,1,0,0,NA,0,0,NA,1,0.06,0.06,0.06
"00-0026158","J.Flacco",2024,7,267,2.04,0.002,3,-5.88,-1.96,0,0,NA,-3.84
"00-0026300","J.Johnson",2024,4,4,-1.81,-0.733,2,0.16,0.08,0,0,NA,-1.65
"00-0026498","M.Stafford",2024,16,546,32.4,0.073,12,2.13,-0.091,0,0,NA,34.53
"00-0027973","A.Dalton",2024,6,168,-25.45,-0.315,1,-0.36,-0.36,0,0,NA,-25.81
"00-0028118","T.Taylor",2024,2,25,11.06,0.401,1,-1.63,-1.63,0,0,NA,9.43
"00-0028872","J.Hekker",2024,2,2,-5.71,-2.855,0,0,NA,0,0,NA,-5.71
"00-0029263","R.Wilson",2024,11,368,-4.92,-0.005,13,-6.76,-0.544,0,0,NA,-11.68
"00-0029604","K.Cousins",2024,14,478,16.23,0.013,9,-9.59,-1.287,0,0,NA,6.64
"00-0029692","B.Anger",2024,2,2,-5.69,-2.845,0,0,NA,0,0,NA,-5.69
"00-0029892","K.Juszczyk",2024,14,0,0,NA,5,-7.28,-1.456,31,12.31,0.41,5.03
"00-0030035","A.Thielen",2024,10,0,0,NA,0,0,NA,62,62.27,0.967,62.27
"00-0030061","Z.Ertz",2024,17,0,0,NA,0,0,NA,93,57.54,0.647,57.54
"00-0030279","K.Allen",2024,15,1,-5.91,-5.91,0,0,NA,123,72.11,0.62,66.2
"00-0030431","R.Woods",2024,12,0,0,NA,0,0,NA,30,8.87,0.365,8.87
"00-0030506","T.Kelce",2024,16,0,0,NA,1,-0.09,-0.09,134,65.81,0.446,65.72
"00-0030564","D.Hopkins",2024,16,0,0,NA,0,0,NA,80,52.98,0.667,52.98
"00-0030565","G.Smith",2024,17,629,3.44,0,16,-16.36,-0.99,0,0,NA,-12.92
"00-0030578","C.Patterson",2024,13,0,0,NA,32,-7.84,-0.302,15,2.1,0.064,-5.74
"00-0031235","O.Beckham",2024,8,0,0,NA,0,0,NA,19,3.79,0.072,3.79
"00-0031236","B.Cooks",2024,10,0,0,NA,3,-2.82,-0.94,54,24.59,0.56,21.77
"00-0031280","D.Carr",2024,10,290,42.29,0.189,7,0.23,0.135,0,0,NA,42.52
"00-0031299","J.Matthews",2024,1,0,0,NA,0,0,NA,1,0,0,0
"00-0031345","J.Garoppolo",2024,1,45,2.08,0.046,1,-1.97,-1.97,0,0,NA,0.11
"00-0031357","C.Goodwin",2024,1,0,0,NA,0,0,NA,1,0,0,0
"00-0031381","D.Adams",2024,14,0,0,NA,0,0,NA,142,88.08,0.615,88.08
"00-0031408","M.Evans",2024,14,0,0,NA,0,0,NA,110,85.28,0.772,85.28
"00-0031428","A.Robinson",2024,6,0,0,NA,0,0,NA,7,4.6,0.58,4.6
"00-0031484","C.Manhertz",2024,4,0,0,NA,0,0,NA,4,3.12,0.78,3.12
"00-0031503","J.Winston",2024,11,326,-30.13,0.031,16,9.16,0.475,0,0,NA,-20.97
"00-0031544","A.Cooper",2024,13,0,0,NA,0,0,NA,85,48.34,0.667,48.34
"00-0031549","N.Agholor",2024,13,0,0,NA,0,0,NA,29,18.15,0.923,18.15
"00-0031585","M.Pruitt",2024,6,0,0,NA,0,0,NA,10,1.97,0.116,1.97
"00-0031588","S.Diggs",2024,8,1,2.76,2.76,2,-1.22,-0.61,64,37.46,0.607,39
"00-0031595","M.Burton",2024,11,0,0,NA,7,-1.06,-0.03,10,4.4,0.331,3.34
"00-0031687","R.Mostert",2024,12,0,0,NA,85,-30.19,-0.421,24,14.91,0.583,-15.28
"00-0031690","E.Tomlinson",2024,4,0,0,NA,0,0,NA,4,-0.43,-0.108,-0.43
"00-0031763","D.Carter",2024,5,0,0,NA,0,0,NA,14,5.04,0.35,5.04
"00-0031800","T.Heinicke",2024,3,8,-9.48,-1.854,0,0,NA,0,0,NA,-9.48
"00-0031941","J.Crowder",2024,4,0,0,NA,0,0,NA,13,9.18,0.624,9.18
"00-0032065","B.Pinion",2024,1,1,-0.95,-0.95,0,0,NA,0,0,NA,-0.95
"00-0032104","A.Abdullah",2024,13,0,0,NA,66,-7.58,-0.334,47,16.01,0.223,8.43
"00-0032128","C.Conley",2024,7,0,0,NA,0,0,NA,12,6.31,0.339,6.31
"00-0032141","G.Swaim",2024,1,0,0,NA,0,0,NA,1,0.31,0.31,0.31
"00-0032211","T.Lockett",2024,17,0,0,NA,0,0,NA,74,48.34,0.608,48.34
"00-0032268","M.Mariota",2024,3,47,19.28,-0.023,12,2.24,0.272,0,0,NA,21.52
"00-0032381","T.Decker",2024,1,0,0,NA,0,0,NA,1,0,0,0
"00-0032385","S.Shepard",2024,13,0,0,NA,8,2.71,0.351,52,30.95,0.669,33.66
"00-0032392","A.Hooper",2024,17,0,0,NA,0,0,NA,59,31.44,0.462,31.44
"00-0032394","N.Vannett",2024,12,0,0,NA,0,0,NA,20,11.22,0.55,11.22
"00-0032399","M.Killebrew",2024,1,1,-2.68,-2.68,0,0,NA,0,0,NA,-2.68
"00-0032434","B.Allen",2024,2,32,-17.48,-1.1,0,0,NA,0,0,NA,-17.48
"00-0032464","K.Raymond",2024,10,0,0,NA,2,-0.99,-0.495,22,17.59,0.656,16.6
"00-0032688","R.Chosen",2024,1,0,0,NA,0,0,NA,4,-0.13,-0.032,-0.13
"00-0032764","D.Henry",2024,17,0,0,NA,325,40.59,0.108,22,14.53,0.793,55.12
"00-0032775","D.Robinson",2024,17,0,0,NA,0,0,NA,66,47.19,0.602,47.19
"00-0032918","C.Ham",2024,5,0,0,NA,2,1.46,0.73,6,-3.42,-0.321,-1.96
"00-0032943","R.Dixon",2024,1,1,-1.9,-1.9,0,0,NA,0,0,NA,-1.9
"00-0032950","C.Wentz",2024,2,23,-6.75,0.298,0,0,NA,0,0,NA,-6.75
"00-0033009","T.Boyd",2024,15,1,-0.43,-0.43,1,0.87,0.87,58,29.57,0.529,30.01
"00-0033040","T.Hill",2024,17,0,0,NA,8,-1.24,0.151,123,77.49,0.555,76.25
