"player_id","player_name","position","team","week","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr"
"00-0023459","A.Rodgers","QB","NYJ",18,23,36,274,4,1,0,0,0,0,0,0,0,24.96
"00-0024243","M.Lewis","TE","CHI",6,0,0,0,0,0,0,0,0,1,1,2,0,1.2
"00-0026158","J.Flacco","QB","IND",18,23,40,264,1,0,0,0,0,0,0,0,0,14.56
"00-0026300","J.Johnson","QB","BAL",17,1,2,16,0,0,0,0,0,0,0,0,0,0.64
"00-0026498","M.Stafford","QB","LA",17,17,32,189,0,0,6,16,0,0,0,0,0,9.16
"00-0027973","A.Dalton","QB","CAR",7,11,16,93,0,2,2,3,0,0,0,0,0,0.0200000000000002
"00-0028118","T.Taylor","QB","NYJ",17,11,14,83,2,0,2,6,0,0,0,0,0,13.92
"00-0029263","R.Wilson","QB","PIT",18,17,31,148,1,0,4,16,0,0,0,0,0,11.52
"00-0029604","K.Cousins","QB","ATL",15,11,17,112,1,1,3,0,0,0,0,0,0,6.48
"00-0030035","A.Thielen","WR","CAR",18,0,0,0,0,0,0,0,0,5,6,44,0,9.4
"00-0030061","Z.Ertz","TE","WAS",18,0,0,0,0,0,0,0,0,5,5,44,1,15.4
"00-0030279","K.Allen","WR","CHI",18,0,1,0,0,1,0,0,0,3,3,25,0,3.5
"00-0030431","R.Woods","WR","HOU",18,0,0,0,0,0,0,0,0,2,3,39,0,3.9
"00-0030506","T.Kelce","TE","KC",17,0,0,0,0,0,0,0,0,8,11,84,1,22.4
"00-0030564","D.Hopkins","WR","KC",17,0,0,0,0,0,0,0,0,2,4,7,0,2.7
"00-0030565","G.Smith","QB","SEA",18,20,27,223,4,0,2,14,0,0,0,0,0,26.32
"00-0030578","C.Patterson","RB","PIT",18,0,0,0,0,0,1,1,0,0,0,0,0,0.1
"00-0031235","O.Beckham","WR","MIA",14,0,0,0,0,0,0,0,0,1,1,1,0,1.1
